options,meaning,label
Job0,"Безробітний: вказано, що не працевлаштований(а)",Безробітний
Job1,"вказано, що працювала (до затримання) ",Працює
не зазначено,не зазначено,Не зазначено
Job3,ФОП,ФОП
Job2,"працювала за цивільними угодами, за наймом, за тимчасовими договорами, за домовленістю, періодично, неофіційно","Періодично, неофіційно"
Mid0,4 класи денних загальноосвітніх навчальних закладів,4 класи освіти
fullMid2,Повна середня освіта (2): 10-11 (12) класи денних і вечірніх загальноосвітніх навчальних закладів),Повна середня
Mid3,"Середня освіта (3): ПТНЗ, учні (слухачі) яких після здобуття повної загальної середньої освіти здобувають кваліфікацію «кваліфікований робітник»",ПТНЗ
notfullMid2,"Неповна середня освіта (2): 10-11 (12) класи денних і вечірніх загальноосвітніх навчальних закладів), які НЕ є завершеними",Неповна середня
не зазначено,не зазначено,Не зазначено
High1,Вища освіта(4): ВНЗ,Вища
Educ0,Зазначено що освіти не має,Освіти немає
notfullMid3,Незакінчена середня спеціальна освіта,Незакінчений ПТНЗ
notfullHigh1,Навчається в ВНЗ або не закінчив,(ще) не закінчив
Mid1,Середня освіта (1): 5-9 класи денних і вечірніх загальноосвітніх навчальних закладів,5-9 класів
Mar1,"Заміжня, одружений =  пов'язаний узами шлюбу і статус підтверджений документально",У шлюбі
Mar0,"Незаміжня, неодружений = раніше не перебувала в законних шлюбних відносинах",Неодружена(-ий)
не зазначено,не зазначено,Не зазначено
Mar2,"розлучений(а), розведений(а) =  мав зареєстрований шлюб, але офіційно розірвав його і оформлених відносин зараз немає",Розлучена(-ий)
Mar3,"вдова, вдівець","Вдова, вдівець"
Mar4,цивільний шлюб = пов'язаний узами шлюбу і статус НЕ підтверджений документально,Цивільний шлюб
Child1,на утриманні 1 неповнолітня/ малолітня дитина,1 дитина
Child0,"зазначено, що дітей немає",Дітей немає
не зазначено,не зазначено,Не зазначено
Child3,на утриманні 3 неповнолітніх/ малолітніх дитини,3 дитини
Child2,на утриманні 2 неповнолітніх/ малолітніх дитини,2 дитини
Child4,на утриманні 4 неповнолітніх/ малолітніх дитини,4 дитини
Child5,на утриманні 5 неповнолітніх/ малолітніх дитини,5 дітей
Child,"Зазначено, що має на утриманні неповнолітніх/ малолітніх дітей, але НЕ зазначено скільки",Не зазначено скільки
Crim0,не засуджувався,Не засуджувався
Crim1,раніше судимий,Раніше судимий
Crim2,раніше НЕОДНОРАЗОВО судимий,Неодноразово судимий
не зазначено,не зазначено,Не зазначено
Female,Жінка,Жінка
Male,Чоловік,Чоловік
Неповнолітня особа,,Неповнолітня особа
Пенсіонер,,Пенсіонер(-ка)
Чи ще навчається,,Ще навчається
Особа у декретній відпусці,,У декретній відпустці
